"ticker","X1.13","Assets","accession_numbers","cik_numbers","year","obs"
"AEE",10,22676,"0001002910-15-000075",1002910,15,7
"AEE",11,21042,"0001002910-14-000054",1002910,14,7
"AEE",3,35735,"0001002910-22-000038",1002910,22,7
"AEE",4,32030,"0001002910-21-000065",1002910,21,7
"AEE",5,28933,"0001002910-20-000077",1002910,20,7
"AEE",6,27215,"0001002910-19-000094",1002910,19,7
"AEE",7,25945,"0001002910-18-000069",1002910,18,7
"AEP",10,5.9633e+10,"0000004904-15-000008",4904,15,5
"AEP",11,5.6414e+10,"0000004904-14-000019",4904,14,5
"AEP",5,75892.3,"0000004904-20-000007",4904,20,5
"AEP",6,920.6,"0000004904-19-000009",4904,19,5
"AEP",7,1211.2,"0000004904-18-000009",4904,18,5
"ATO",11,8594704,"0000731802-14-000034",731802,14,6
"ATO",3,22192989,"0000731802-22-000037",731802,22,6
"ATO",4,19608662,"0000731802-21-000040",731802,21,6
"ATO",5,15359032,"0000731802-20-000040",731802,20,6
"ATO",6,13367619,"0000731802-19-000037",731802,19,6
"ATO",7,11874437,"0000731802-18-000039",731802,18,6
"CAG",10,17542.2,"0001628280-15-005333",23217,15,9
"CAG",11,19366.4,"0000023217-14-000009",23217,14,9
"CAG",3,22435.1,"0001437749-22-017530",23217,22,9
"CAG",4,22195.6,"0001564590-21-037738",23217,21,9
"CAG",5,22304,"0001564590-20-033366",23217,20,9
"CAG",6,22213.8,"0000023217-19-000006",23217,19,9
"CAG",7,10389.5,"0000023217-18-000005",23217,18,9
"CAG",8,10096.3,"0001628280-17-007184",23217,17,9
"CAG",9,13390.6,"0001628280-16-017613",23217,16,9
"HES",10,38578,"0001564590-15-001040",4447,15,8
"HES",11,42754,"0001193125-14-077565",4447,14,8
"HES",3,20515,"0001628280-22-004524",4447,22,8
"HES",4,18821,"0001628280-21-003531",4447,21,8
"HES",5,21782,"0001564590-20-005545",4447,20,8
"HES",6,21433,"0001564590-19-003671",4447,19,8
"HES",7,23112,"0001564590-18-002698",4447,18,8
"HES",9,34195,"0001564590-16-013433",4447,16,8
"L",10,78367,"0001193125-15-058679",60086,15,9
"L",11,79939,"0001193125-14-064964",60086,14,9
"L",3,81626,"0000060086-22-000007",60086,22,9
"L",4,80236,"0001140361-21-003906",60086,21,9
"L",5,82243,"0001193125-20-031657",60086,20,9
"L",6,78316,"0001193125-19-037854",60086,19,9
"L",7,79586,"0001193125-18-046681",60086,18,9
"L",8,76594,"0001193125-17-046521",60086,17,9
"L",9,76029,"0001193125-16-470141",60086,16,9
"MMM",10,31269,"0001104659-15-009560",66740,15,9
"MMM",11,33550,"0001104659-14-009773",66740,14,9
"MMM",3,47072,"0000066740-22-000010",66740,22,9
"MMM",4,47344,"0001558370-21-000737",66740,21,9
"MMM",5,44659,"0001558370-20-000581",66740,20,9
"MMM",6,36500,"0001558370-19-000470",66740,19,9
"MMM",7,37987,"0001558370-18-000535",66740,18,9
"MMM",8,32906,"0001558370-17-000479",66740,17,9
"MMM",9,32718,"0001558370-16-003162",66740,16,9
"NUE",10,15615927,"0001193125-15-068895",73309,15,9
"NUE",11,15203283,"0001193125-14-077349",73309,14,9
"NUE",3,25823072,"0001564590-22-007679",73309,22,9
"NUE",4,20125394,"0001564590-21-009503",73309,21,9
"NUE",5,18344666,"0001564590-20-007794",73309,20,9
"NUE",6,17920588,"0001193125-19-057744",73309,19,9
"NUE",7,15841258,"0001193125-18-064018",73309,18,9
"NUE",8,15223518,"0001193125-17-062124",73309,17,9
"NUE",9,14250399,"0001193125-16-481119",73309,16,9
"OI",10,9421,"0001558370-16-003216",812074,16,10
"OI",11,7858,"0001047469-15-000716",812074,15,10
"OI",12,8419,"0001047469-14-000875",812074,14,10
"OI",3,8832,"0001558370-22-000923",812074,22,10
"OI",4,8882,"0001558370-21-001009",812074,21,10
"OI",5,9610,"0001558370-20-001125",812074,20,10
"OI",6,9699,"0001558370-19-000652",812074,19,10
"OI",7,9756,"0001558370-18-000669",812074,18,10
"OI",8,9135,"0001558370-17-000499",812074,17,10
"OI",9,9421,"0001558370-16-005950",812074,16,10
"PFE",10,169274,"0000078003-15-000014",78003,15,3
"PFE",11,172101,"0000078003-14-000018",78003,14,3
"PFE",5,167489,"0000078003-20-000014",78003,20,3
"PPG",10,6554,"0000079879-16-000065",79879,16,10
"PPG",11,6850,"0000079879-15-000009",79879,15,10
"PPG",12,7214,"0000079879-14-000010",79879,14,10
"PPG",3,6774,"0000079879-22-000009",79879,22,10
"PPG",4,6798,"0000079879-21-000008",79879,21,10
"PPG",5,6170,"0000079879-20-000008",79879,20,10
"PPG",6,5961,"0000079879-19-000008",79879,19,10
"PPG",7,6477,"0000079879-18-000039",79879,18,10
"PPG",8,6477,"0000079879-18-000010",79879,18,10
"PPG",9,6452,"0000079879-17-000009",79879,17,10
"PXD",11,14926,"0001038357-15-000010",1038357,15,7
"PXD",12,12292788,"0001038357-14-000022",1038357,14,7
"PXD",4,36811,"0001038357-22-000039",1038357,22,7
"PXD",5,19229,"0001038357-21-000016",1038357,21,7
"PXD",6,19067,"0001038357-20-000009",1038357,20,7
"PXD",7,17903,"0001038357-19-000010",1038357,19,7
"PXD",8,17003,"0001038357-18-000015",1038357,18,7
"SD",10,1119627,"0001349436-18-000008",1349436,18,7
"SD",11,1081392,"0001349436-17-000004",1349436,17,7
"SD",13,2991155,"0001349436-16-000213",1349436,16,7
"SD",5,352912,"0001628280-22-005741",1349436,22,7
"SD",6,260832,"0001628280-21-003933",1349436,21,7
"SD",7,607689,"0001349436-20-000012",1349436,20,7
"SD",8,1024338,"0001349436-19-000009",1349436,19,7
"STLD",11,7311027,"0001047469-15-001486",1022671,15,9
"STLD",12,5933006,"0001047469-14-001662",1022671,14,9
"STLD",3,12531234,"0001558370-22-002377",1022671,22,9
"STLD",4,9265562,"0001558370-21-002129",1022671,21,9
"STLD",5,8275765,"0001558370-20-001641",1022671,20,9
"STLD",6,7703563,"0001144204-19-010579",1022671,19,9
"STLD",7,6855732,"0001144204-18-011155",1022671,18,9
"STLD",8,6423732,"0001144204-17-011732",1022671,17,9
"STLD",9,6202082,"0001047469-16-010496",1022671,16,9
"TXN",10,17722,"0000097476-15-000003",97476,15,9
"TXN",11,18938,"0000097476-14-000007",97476,14,9
"TXN",3,24676,"0000097476-22-000009",97476,22,9
"TXN",4,19351,"0000097476-21-000006",97476,21,9
"TXN",5,18018,"0000097476-20-000009",97476,20,9
"TXN",6,17137,"0001564590-19-003839",97476,19,9
"TXN",7,17642,"0001564590-18-002832",97476,18,9
"TXN",8,16431,"0001564590-17-002142",97476,17,9
"TXN",9,16230,"0001564590-16-013126",97476,16,9
"TXT",10,14605,"0001104659-15-013784",217346,15,9
"TXT",11,12944,"0001104659-14-009908",217346,14,9
"TXT",3,15827,"0000217346-22-000005",217346,22,9
"TXT",4,15443,"0000217346-21-000019",217346,21,9
"TXT",5,15018,"0001104659-20-024773",217346,20,9
"TXT",6,14264,"0001104659-19-008151",217346,19,9
"TXT",7,15340,"0001104659-18-009905",217346,18,9
"TXT",8,15358,"0001104659-17-010809",217346,17,9
"TXT",9,14708,"0001104659-16-099562",217346,16,9
"WM",10,20419,"0001193125-16-467957",823768,16,9
"WM",11,21412,"0000950123-15-002550",823768,15,9
"WM",12,22603,"0001193125-14-056656",823768,14,9
"WM",4,29097,"0001558370-22-001179",823768,22,9
"WM",5,29345,"0001558370-21-001348",823768,21,9
"WM",6,27743,"0001558370-20-000762",823768,20,9
"WM",7,22650,"0001558370-19-000662",823768,19,9
"WM",8,21829,"0001558370-18-000716",823768,18,9
"WM",9,20859,"0001193125-17-046480",823768,17,9
"WY",11,13457,"0000106535-15-000006",106535,15,9
"WY",12,14498,"0000106535-14-000010",106535,14,9
"WY",3,17652,"0001564590-22-005707",106535,22,9
"WY",4,16311,"0001564590-21-006960",106535,21,9
"WY",5,16406,"0001564590-20-004822",106535,20,9
"WY",6,17249,"0000106535-19-000014",106535,19,9
"WY",7,18059,"0000106535-18-000013",106535,18,9
"WY",8,19243,"0000106535-17-000007",106535,17,9
"WY",9,12486,"0000106535-16-000046",106535,16,9
