accession_numbers,cik_numbers
0001002910-24-000056,1002910
0001002910-23-000053,1002910
0001002910-22-000038,1002910
0001002910-21-000065,1002910
0001002910-20-000077,1002910
0001002910-19-000094,1002910
0001002910-18-000069,1002910
0001002910-17-000054,1002910
0001002910-16-000205,1002910
0001002910-15-000075,1002910
0001002910-14-000054,1002910
0001445305-13-000414,1002910
0001193125-12-085489,1002910
0000004904-24-000020,4904
0000004904-23-000011,4904
0000004904-22-000024,4904
0000004904-21-000010,4904
0000004904-20-000007,4904
0000004904-19-000009,4904
0000004904-18-000009,4904
0000004904-17-000019,4904
0000004904-16-000056,4904
0000004904-15-000008,4904
0000004904-14-000019,4904
0000004904-13-000025,4904
0000004904-12-000013,4904
0000731802-24-000030,731802
0000731802-23-000028,731802
0000731802-22-000037,731802
0000731802-21-000040,731802
0000731802-20-000040,731802
0000731802-19-000037,731802
0000731802-18-000039,731802
0000731802-17-000041,731802
0000731802-16-000066,731802
0000731802-15-000030,731802
0000731802-14-000034,731802
0000731802-13-000017,731802
0001193125-12-466518,731802
0001558370-24-009764,23217
0001437749-23-019879,23217
0001437749-22-017530,23217
0001564590-21-037738,23217
0001564590-20-033366,23217
0000023217-19-000006,23217
0000023217-18-000005,23217
0001628280-17-007184,23217
0001628280-16-017613,23217
0001628280-15-005333,23217
0000023217-14-000009,23217
0001445305-13-001653,23217
0001193125-12-308387,23217
0001628280-24-006845,4447
0001628280-23-005059,4447
0001628280-22-004524,4447
0001628280-21-003531,4447
0001564590-20-005545,4447
0001564590-19-003671,4447
0001564590-18-002698,4447
0001564590-17-002225,4447
0001564590-16-013433,4447
0001564590-15-001040,4447
0001193125-14-077565,4447
0001193125-13-084779,4447
0001193125-12-081827,4447
0000060086-24-000029,60086
0000060086-23-000025,60086
0000060086-22-000007,60086
0001140361-21-003906,60086
0001193125-20-031657,60086
0001193125-19-037854,60086
0001193125-18-046681,60086
0001193125-17-046521,60086
0001193125-16-470141,60086
0001193125-15-058679,60086
0001193125-14-064964,60086
0001193125-13-070611,60086
0001193125-12-072891,60086
0000066740-24-000016,66740
0000066740-23-000014,66740
0000066740-22-000010,66740
0001558370-21-000737,66740
0001558370-20-000581,66740
0001558370-19-000470,66740
0001558370-18-000535,66740
0001558370-17-000479,66740
0001558370-16-003162,66740
0001104659-15-009560,66740
0001104659-14-009773,66740
0001104659-13-010881,66740
0001104659-12-010566,66740
0000950170-24-021195,73309
0001564590-23-002793,73309
0001564590-22-007679,73309
0001564590-21-009503,73309
0001564590-20-007794,73309
0001193125-19-057744,73309
0001193125-18-064018,73309
0001193125-17-062124,73309
0001193125-16-481119,73309
0001193125-15-068895,73309
0001193125-14-077349,73309
0001193125-13-084517,73309
0001193125-12-083972,73309
0001558370-24-001165,812074
0001558370-23-001030,812074
0001558370-22-000923,812074
0001558370-21-001009,812074
0001558370-20-001125,812074
0001558370-19-000652,812074
0001558370-18-000669,812074
0001558370-17-000499,812074
0001558370-16-005950,812074
0001558370-16-003216,812074
0001047469-15-000716,812074
0001047469-14-000875,812074
0001047469-13-000991,812074
0000078003-24-000039,78003
0000078003-23-000024,78003
0000078003-22-000027,78003
0000078003-21-000038,78003
0000078003-20-000014,78003
0000078003-19-000015,78003
0000078003-18-000027,78003
0000078003-17-000014,78003
0000078003-16-000077,78003
0000078003-15-000014,78003
0000078003-14-000018,78003
0000078003-13-000009,78003
0000078003-13-000006,78003
0000079879-24-000040,79879
0000079879-23-000007,79879
0000079879-22-000009,79879
0000079879-21-000008,79879
0000079879-20-000008,79879
0000079879-19-000008,79879
0000079879-18-000039,79879
0000079879-18-000010,79879
0000079879-17-000009,79879
0000079879-16-000065,79879
0000079879-15-000009,79879
0000079879-14-000010,79879
0000079879-13-000016,79879
0001193125-24-119644,1038357
0001038357-24-000020,1038357
0001038357-23-000039,1038357
0001038357-22-000039,1038357
0001038357-21-000016,1038357
0001038357-20-000009,1038357
0001038357-19-000010,1038357
0001038357-18-000015,1038357
0001038357-17-000012,1038357
0001038357-16-000101,1038357
0001038357-15-000010,1038357
0001038357-14-000022,1038357
0001038357-13-000009,1038357
0001193125-24-122938,1349436
0001628280-24-009706,1349436
0001628280-23-008082,1349436
0001193125-22-194939,1349436
0001628280-22-005741,1349436
0001628280-21-003933,1349436
0001349436-20-000012,1349436
0001349436-19-000009,1349436
0001206774-18-001499,1349436
0001349436-18-000008,1349436
0001349436-17-000004,1349436
0001193125-16-569260,1349436
0001349436-16-000213,1349436
0001558370-24-002152,1022671
0001558370-23-002303,1022671
0001558370-22-002377,1022671
0001558370-21-002129,1022671
0001558370-20-001641,1022671
0001144204-19-010579,1022671
0001144204-18-011155,1022671
0001144204-17-011732,1022671
0001047469-16-010496,1022671
0001104659-15-044526,1022671
0001047469-15-001486,1022671
0001047469-14-001662,1022671
0001047469-13-001827,1022671
0000097476-24-000007,97476
0000097476-23-000007,97476
0000097476-22-000009,97476
0000097476-21-000006,97476
0000097476-20-000009,97476
0001564590-19-003839,97476
0001564590-18-002832,97476
0001564590-17-002142,97476
0001564590-16-013126,97476
0000097476-15-000003,97476
0000097476-14-000007,97476
0000097476-13-000009,97476
0000097476-12-000010,97476
0000217346-24-000017,217346
0000217346-23-000006,217346
0000217346-22-000005,217346
0000217346-21-000019,217346
0001104659-20-024773,217346
0001104659-19-008151,217346
0001104659-18-009905,217346
0001104659-17-010809,217346
0001104659-16-099562,217346
0001104659-15-013784,217346
0001104659-14-009908,217346
0001104659-13-011048,217346
0001193125-12-074981,217346
0001558370-24-001049,823768
0001558370-23-000964,823768
0001558370-22-004593,823768
0001558370-22-001179,823768
0001558370-21-001348,823768
0001558370-20-000762,823768
0001558370-19-000662,823768
0001558370-18-000716,823768
0001193125-17-046480,823768
0001193125-16-467957,823768
0000950123-15-002550,823768
0001193125-14-056656,823768
0001193125-13-058892,823768
0000950170-24-016434,106535
0000950170-23-003217,106535
0001564590-22-005707,106535
0001564590-21-006960,106535
0001564590-20-004822,106535
0000106535-19-000014,106535
0000106535-18-000013,106535
0000106535-17-000007,106535
0000106535-16-000046,106535
0000106535-15-000010,106535
0000106535-15-000006,106535
0000106535-14-000010,106535
0000106535-13-000011,106535
